"OBJECTID","ULAND","UREGBEZ","UKREIS","UGEMEINDE","UJAHR","UMONAT","USTUNDE","UWOCHENTAG","UKATEGORIE","UART","UTYP1","IstStrasse","IstRad","IstPKW","IstFuss","IstKrad","IstSonstig","XGCSWGS84","YGCSWGS84"
122636,14,7,13,0,2016,2,14,7,3,5,3,0,1,1,0,0,0,12.4330559859999,51.3053541889999
122668,14,7,13,0,2016,3,20,3,3,5,2,1,1,1,0,0,0,12.370218999,51.325997202
122675,14,7,13,0,2016,2,15,5,3,5,3,1,1,1,0,0,0,12.390747026,51.3433839389999
122682,14,7,13,0,2016,2,12,7,3,3,5,0,1,1,0,0,0,12.3608900199999,51.344628206
122683,14,7,13,0,2016,3,8,4,3,0,5,0,1,0,0,0,1,12.3639617019999,51.332496869
122685,14,7,13,0,2016,2,7,5,3,5,3,0,1,1,0,0,0,12.3994502069999,51.376403283
122693,14,7,13,0,2016,2,7,5,3,1,5,0,1,0,0,0,1,12.427140636,51.3208040359999
122703,14,7,13,0,2016,2,15,5,3,5,3,0,1,1,0,0,0,12.366729421,51.346892525
122708,14,7,13,0,2016,2,10,1,3,5,2,0,1,1,0,0,0,12.407664041,51.3513181399999
122724,14,7,13,0,2016,3,20,4,3,5,3,0,1,1,0,0,0,12.3804186069999,51.288513395
122726,14,7,13,0,2016,2,5,7,3,5,3,2,1,0,0,0,1,12.352955759,51.341990396
122728,14,7,13,0,2016,2,8,3,3,3,2,0,1,1,0,0,0,12.383356461,51.3349001699999
122749,14,7,13,0,2016,2,16,7,3,3,2,0,1,1,0,0,0,12.378495831,51.3361728619999
122774,14,7,13,0,2016,2,7,2,3,5,3,1,1,1,0,0,0,12.416167427,51.3119381879999
122779,14,7,13,0,2016,3,12,6,2,5,3,0,1,1,0,0,0,12.385651697,51.372091631
122780,14,7,13,0,2016,2,8,6,3,5,3,0,1,1,0,0,0,12.338819593,51.337144393
122810,14,7,13,0,2016,2,21,6,3,5,3,0,1,1,0,0,0,12.376964378,51.344807281
122835,14,7,13,0,2016,3,20,3,3,3,6,1,1,1,0,0,0,12.348582893,51.3321487019999
122840,14,7,13,0,2016,3,9,4,3,5,2,0,1,1,0,0,0,12.373709569,51.3220616309999
122845,14,7,13,0,2016,3,10,3,3,1,5,1,1,1,0,0,0,12.352394436,51.319613938
122855,14,7,13,0,2016,3,7,6,3,0,2,0,1,0,0,0,1,12.382085598,51.332585139
122859,14,7,13,0,2016,3,16,2,3,4,2,0,1,1,0,0,0,12.387282162,51.3092543329999
122861,14,7,13,0,2016,3,8,4,3,5,3,0,1,0,0,0,1,12.430815254,51.3627922439999
122882,14,7,13,0,2016,3,16,4,3,3,2,0,1,1,0,0,0,12.4039652349999,51.3302863409999
122890,14,7,13,0,2016,3,14,6,2,3,1,1,1,0,0,0,0,12.384095767,51.3012989579999
122898,14,7,13,0,2016,3,16,4,3,1,5,0,1,1,0,0,0,12.344710094,51.329523166
122900,14,7,13,0,2016,3,12,5,3,3,5,0,1,1,0,0,0,12.3849494779999,51.338458877
122907,14,7,13,0,2016,3,10,2,3,0,2,1,1,1,0,0,0,12.394541538,51.3159247729999
122914,14,7,13,0,2016,3,14,2,3,3,5,0,1,1,0,0,0,12.392635088,51.337063448
122932,14,7,13,0,2016,3,13,3,3,5,3,1,1,0,0,0,0,12.465195322,51.3458568269999
122937,14,7,13,0,2016,3,22,3,3,5,3,0,1,1,0,0,0,12.373351868,51.3530607559999
122947,14,7,13,0,2016,3,18,4,3,5,3,0,1,0,0,0,0,12.373384106,51.363071191
122962,14,7,13,0,2016,3,16,4,3,1,5,0,1,1,0,0,0,12.374608967,51.3042176129999
122964,14,7,13,0,2016,3,5,5,2,5,3,0,1,1,0,0,0,12.4079710139999,51.3356484839999
122981,14,7,13,0,2016,3,14,4,3,5,3,0,1,1,0,0,0,12.408232389,51.3304097219999
123000,14,7,13,0,2016,3,15,4,3,5,2,0,1,1,0,0,0,12.41161737,51.342635098
123017,14,7,13,0,2016,3,2,1,2,0,1,1,1,0,0,0,0,12.372997858,51.309713647
123018,14,7,13,0,2016,3,10,7,3,5,3,0,1,1,0,0,0,12.420524467,51.3192539819999
123027,14,7,13,0,2016,3,7,5,3,4,6,0,1,1,0,0,0,12.390313942,51.3342717479999
123029,14,7,13,0,2016,3,7,4,3,5,3,0,1,1,0,0,0,12.369424346,51.3600943129999
123030,14,7,13,0,2016,3,15,1,3,5,3,0,1,1,0,0,0,12.372979079,51.301377545
123036,14,7,13,0,2016,3,6,3,3,5,3,1,1,1,0,0,0,12.438267225,51.356861958
123038,14,7,13,0,2016,3,19,3,3,5,3,1,1,1,0,0,0,12.38937599,51.335822467
123052,14,7,13,0,2016,3,14,4,3,5,2,0,1,1,0,0,0,12.39853347,51.365602332
123056,14,7,13,0,2016,3,7,4,3,3,7,0,1,1,0,0,0,12.378509397,51.3219168549999
123098,14,7,13,0,2016,4,19,2,3,5,2,0,1,1,0,0,0,12.370823629,51.336352873
123109,14,7,13,0,2016,4,19,1,3,0,6,0,1,0,0,1,0,12.3736485,51.3330033129999
123112,14,7,13,0,2016,4,11,2,3,5,2,0,1,1,0,0,0,12.378504828,51.335847803
123115,14,7,13,0,2016,4,15,3,3,1,2,0,1,1,0,0,0,12.353929123,51.350908142
123119,14,7,13,0,2016,4,10,3,3,5,3,0,1,0,0,0,1,12.3712484919999,51.3351852819999
123124,14,7,13,0,2016,4,8,2,3,3,2,0,1,1,0,0,0,12.326454955,51.3086531699999
123136,14,7,13,0,2016,4,7,4,3,5,3,0,1,1,0,0,0,12.371122828,51.336467016
123152,14,7,13,0,2016,4,12,2,3,4,2,0,1,1,0,0,0,12.4058300129999,51.331780287
123153,14,7,13,0,2016,3,18,4,3,2,6,1,1,1,0,0,0,12.352927289,51.363029337
123155,14,7,13,0,2016,4,15,4,2,5,3,0,1,0,0,0,1,12.3745831259999,51.335772411
123166,14,7,13,0,2016,4,12,1,3,3,2,0,1,1,0,0,0,12.374087969,51.3040388579999
123168,14,7,13,0,2016,4,17,3,3,5,3,0,1,1,0,0,0,12.371494149,51.3206277849999
123178,14,7,13,0,2016,4,14,1,3,0,1,0,1,0,0,0,0,12.323116572,51.3330737739999
